time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,train/n_updates,train/loss,train/learning_rate
0,20.0,91,20,0.982,1,49.512342,,,
0,22.5,197,45,0.9595000000000005,2,47.4687495,,,
0,23.0,295,69,0.9379000000000008,3,60.76718966666667,,,
0,23.25,393,93,0.9162999999999992,4,48.4547225,,,
0,23.0,484,115,0.8964999999999994,5,51.599140399999996,,,
0,22.833333333333332,573,137,0.8766999999999996,6,43.25302466666667,,,
0,22.0,643,154,0.8613999999999993,7,44.06119485714286,,,
0,21.375,712,171,0.846100000000001,8,51.30727125,,,
0,20.88888888888889,781,188,0.8308000000000006,9,51.53075366666667,,,
0,20.7,858,207,0.8137000000000005,10,50.25380750000001,6,3.414677143096924,0.0001
0,20.90909090909091,955,230,0.7930000000000008,11,51.91731218181819,29,1.6933581829071045,0.0001
0,20.75,1035,249,0.7759000000000007,12,49.130254750000006,48,2.0137431621551514,0.0001
0,20.615384615384617,1114,268,0.7588000000000006,13,45.85014723076924,67,2.7115321159362793,0.0001
0,21.071428571428573,1224,295,0.7344999999999993,14,46.069948928571435,94,2.6829140186309814,0.0001
0,20.933333333333334,1302,314,0.7173999999999991,15,47.69245720000001,113,2.944243907928467,0.0001
0,20.6875,1372,331,0.7021000000000008,16,50.14057475,130,3.0788674354553223,0.0001
0,20.470588235294116,1443,348,0.6868000000000005,17,49.11735688235294,147,3.0490078926086426,0.0001
0,20.27777777777778,1517,365,0.6715000000000002,18,48.92157822222222,164,3.1197831630706787,0.0001
0,20.263157894736842,1599,385,0.6535000000000002,19,48.83846178947368,184,2.896383762359619,0.0001
0,20.85,1728,417,0.6246999999999994,20,49.028993299999996,216,3.698308229446411,0.0001
0,21.19047619047619,1846,445,0.5995000000000001,21,47.82384428571428,244,2.959231376647949,0.0001
0,21.0,1915,462,0.5841999999999998,22,49.81621290909091,261,4.458322525024414,0.0001
0,21.0,2002,483,0.5652999999999999,23,49.296975260869566,282,4.038921356201172,0.0001
0,20.875,2077,501,0.5490999999999997,24,49.775225999999996,300,1.9668834209442139,0.0001
0,21.16,2196,529,0.5239000000000005,25,49.17255427999999,328,3.2150626182556152,0.0001
0,21.0,2265,546,0.5086000000000002,26,47.75414730769231,345,4.924721717834473,0.0001
0,21.11111111111111,2370,570,0.48700000000000054,27,47.26185029629629,369,3.0205636024475098,0.0001
0,21.25,2475,595,0.464500000000001,28,46.25754239285714,394,1.7174919843673706,0.0001
0,21.448275862068964,2584,622,0.4401999999999997,29,46.0864878275862,421,3.2342538833618164,0.0001
0,21.566666666666666,2686,647,0.4177000000000002,30,45.977902333333326,446,3.093576431274414,0.0001
0,21.419354838709676,2757,664,0.40239999999999987,31,47.27319851612903,463,2.2180113792419434,0.0001
0,21.4375,2850,686,0.38260000000000005,32,48.740425531250004,485,2.816397190093994,0.0001
0,21.272727272727273,2918,702,0.36819999999999964,33,50.22279575757576,501,2.049325942993164,0.0001
0,21.235294117647058,3001,722,0.3501999999999996,34,49.90698211764706,521,3.9164342880249023,0.0001
0,21.085714285714285,3069,738,0.3357999999999993,35,48.85390205714286,537,4.425666809082031,0.0001
0,21.13888888888889,3165,761,0.3150999999999995,36,48.91953241666667,560,2.484665870666504,0.0001
0,21.08108108108108,3244,780,0.2979999999999994,37,48.35145300000001,579,3.5844686031341553,0.0001
0,20.92105263157895,3307,795,0.28450000000000086,38,47.06801092105264,594,2.370319366455078,0.0001
0,20.871794871794872,3385,814,0.26740000000000086,39,48.0316038974359,613,3.1815762519836426,0.0001
0,21.025,3495,841,0.24309999999999943,40,48.137978,640,2.938385009765625,0.0001
0,20.902439024390244,3561,857,0.22869999999999902,41,48.519038439024385,656,2.305166721343994,0.0001
0,20.904761904761905,3654,878,0.2097999999999991,42,48.31129973809524,677,2.2476677894592285,0.0001
0,20.88372093023256,3735,898,0.19179999999999908,43,49.263304999999995,697,2.173600435256958,0.0001
0,20.772727272727273,3801,914,0.17740000000000078,44,49.183088954545454,713,3.6018028259277344,0.0001
0,20.68888888888889,3871,931,0.16210000000000047,45,48.37143553333333,730,3.7578911781311035,0.0001
0,20.67391304347826,3954,951,0.14410000000000034,46,48.29202223913044,750,3.0688226222991943,0.0001
0,20.829787234042552,4068,979,0.11889999999999912,47,47.72150927659575,778,3.413458824157715,0.0001
0,20.875,4164,1002,0.1,48,47.72067975000001,801,1.892956256866455,0.0001
0,21.040816326530614,4280,1031,0.1,49,47.14078038775511,830,2.4715261459350586,0.0001
0,21.1,4377,1055,0.1,50,47.320670760000006,854,2.1156015396118164,0.0001
0,21.0,4446,1071,0.1,51,48.20754090196078,870,5.020561218261719,0.0001
0,20.903846153846153,4515,1087,0.1,52,48.263783326923075,886,3.687908887863159,0.0001
0,20.943396226415093,4616,1110,0.1,53,48.89661758490566,909,1.1823391914367676,0.0001
0,21.0,4720,1134,0.1,54,49.69460746296296,933,2.707310676574707,0.0001
0,21.01818181818182,4813,1156,0.1,55,50.0514116,955,4.307031631469727,0.0001
0,21.142857142857142,4925,1184,0.1,56,49.95860376785715,983,2.418703079223633,0.0001
0,21.087719298245613,5005,1202,0.1,57,49.887295526315796,1001,3.0693068504333496,0.0001
0,21.017241379310345,5075,1219,0.1,58,49.295638344827594,1018,2.882411003112793,0.0001
0,20.93220338983051,5143,1235,0.1,59,49.28363849152543,1034,4.19475793838501,0.0001
0,20.95,5233,1257,0.1,60,49.30200068333333,1056,4.655713081359863,0.0001
