#{"t_start": 1645936269.0442734, "env_id": null}
r,l,t,ground_state,abstract_state,decisions
16.753634,24,124.803061,213,abstract_0_0,"['GREEDY', 'PROACTIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE', 'PROACTIVE', 'NAIVE', 'GREEDY', 'PROACTIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'PROACTIVE', 'NAIVE']"
13.136864,16,208.947735,6,abstract_0_1,"['GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY']"
17.779447,17,304.957572,677,abstract_6_0,"['NAIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE', 'PROACTIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'GREEDY', 'GREEDY']"
15.375116,17,393.636829,48,abstract_1_0,"['NAIVE', 'NAIVE', 'GREEDY', 'NAIVE', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'GREEDY', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'GREEDY', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'NAIVE']"
2.907854,17,485.28218,676,abstract_6_0,"['NAIVE', 'PROACTIVE', 'GREEDY', 'NAIVE', 'PROACTIVE', 'NAIVE', 'PROACTIVE', 'NAIVE', 'GREEDY', 'NAIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY']"
53.67081,20,585.388153,439,abstract_1_1,"['PROACTIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'PROACTIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'NAIVE', 'GREEDY', 'NAIVE', 'GREEDY']"
31.796466,17,675.541019,145,abstract_3_0,"['GREEDY', 'NAIVE', 'GREEDY', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'GREEDY', 'PROACTIVE', 'NAIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'PROACTIVE', 'PROACTIVE']"
97.683812,17,763.520923,869,abstract_6_0,"['GREEDY', 'GREEDY', 'NAIVE', 'NAIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'PROACTIVE']"
9.044442,27,896.796664,670,abstract_5_3,"['GREEDY', 'PROACTIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'NAIVE', 'NAIVE', 'PROACTIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'PROACTIVE']"
15.0178,20,998.81812,295,abstract_2_1,"['GREEDY', 'NAIVE', 'NAIVE', 'PROACTIVE', 'GREEDY', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'NAIVE', 'PROACTIVE', 'NAIVE', 'PROACTIVE', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'GREEDY']"
44.222855,19,1097.446712,732,abstract_7_2,"['PROACTIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'GREEDY', 'NAIVE', 'NAIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'NAIVE', 'NAIVE', 'GREEDY', 'PROACTIVE', 'PROACTIVE']"
97.597035,16,1178.680745,204,abstract_0_2,"['GREEDY', 'NAIVE', 'GREEDY', 'NAIVE', 'NAIVE', 'GREEDY', 'PROACTIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'GREEDY', 'GREEDY']"
13.016088,29,1324.316648,662,abstract_5_1,"['GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'NAIVE', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'NAIVE', 'PROACTIVE', 'NAIVE', 'NAIVE', 'PROACTIVE', 'GREEDY', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'GREEDY', 'PROACTIVE']"
50.971119,20,1426.53208,726,abstract_7_1,"['GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'NAIVE']"
49.71669,14,1500.703242,225,abstract_0_0,"['GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'NAIVE']"
45.157648,27,1635.969324,587,abstract_4_3,"['NAIVE', 'GREEDY', 'NAIVE', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'PROACTIVE', 'GREEDY']"
39.449722,23,1751.75488,686,abstract_6_3,"['GREEDY', 'PROACTIVE', 'GREEDY', 'NAIVE', 'PROACTIVE', 'NAIVE', 'PROACTIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'PROACTIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'NAIVE']"
32.376444,28,1892.383098,448,abstract_1_0,"['NAIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'NAIVE', 'PROACTIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'NAIVE', 'GREEDY', 'PROACTIVE', 'GREEDY']"
36.325601,26,2026.373057,389,abstract_0_0,"['NAIVE', 'PROACTIVE', 'PROACTIVE', 'GREEDY', 'PROACTIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'NAIVE', 'NAIVE', 'NAIVE']"
11.770065,17,2114.568233,1016,abstract_5_2,"['GREEDY', 'PROACTIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'PROACTIVE', 'NAIVE', 'PROACTIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY']"
58.250292,23,2228.263431,737,abstract_7_0,"['NAIVE', 'GREEDY', 'PROACTIVE', 'PROACTIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY']"
42.52925,16,2313.578932,436,abstract_1_0,"['PROACTIVE', 'PROACTIVE', 'NAIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'PROACTIVE', 'PROACTIVE']"
92.921934,17,2399.956004,1016,abstract_5_2,"['GREEDY', 'GREEDY', 'NAIVE', 'PROACTIVE', 'NAIVE', 'NAIVE', 'PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE']"
4.920422,23,2517.568529,400,abstract_0_0,"['GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'PROACTIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'PROACTIVE']"
50.314867,16,2601.759327,489,abstract_2_2,"['NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE']"
48.695055,23,2719.55993,554,abstract_3_3,"['GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'NAIVE', 'PROACTIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'PROACTIVE']"
36.005328,26,2850.271163,359,abstract_3_1,"['GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'NAIVE', 'PROACTIVE', 'GREEDY', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY']"
47.747962,18,2944.307558,628,abstract_5_0,"['GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY']"
90.870169,16,3027.049036,487,abstract_2_1,"['PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'PROACTIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY']"
48.752758,16,3110.655519,54,abstract_1_1,"['GREEDY', 'NAIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY']"
95.578,17,3201.123497,867,abstract_6_1,"['NAIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'GREEDY']"
94.88232,16,3285.02827,435,abstract_1_1,"['GREEDY', 'NAIVE', 'PROACTIVE', 'NAIVE', 'GREEDY', 'NAIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'PROACTIVE']"
11.433613,28,3425.133868,544,abstract_3_0,"['GREEDY', 'NAIVE', 'PROACTIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'GREEDY', 'NAIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY']"
46.43232,17,3512.579082,828,abstract_5_2,"['GREEDY', 'NAIVE', 'PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY']"
99.524264,16,3595.812949,477,abstract_1_2,"['GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY']"
77.425558,17,3684.436002,1113,abstract_7_2,"['GREEDY', 'NAIVE', 'NAIVE', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'NAIVE', 'GREEDY']"
43.778134,19,3783.651047,1056,abstract_6_0,"['GREEDY', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY']"
25.283973,16,3867.624651,494,abstract_2_3,"['GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY']"
48.561637,30,4013.56973,48,abstract_1_0,"['GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE', 'NAIVE', 'PROACTIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'GREEDY']"
