rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss
24.0,24,0,1,30.100072,84,0.9543999999999998,,,
24.5,49,0,2,34.974732,162,0.9068999999999997,,,
23.333333333333332,70,0,3,16.248119333333335,220,0.8669999999999999,,,
21.75,87,0,4,34.0660695,266,0.8347000000000003,,,
22.2,111,0,5,33.970012,329,0.7891,,,
21.833333333333332,131,0,6,37.490233499999995,382,0.7511,,,
23.0,161,0,7,36.47771185714286,462,0.6940999999999999,,,
23.625,189,0,8,36.650708124999994,543,0.6408999999999995,,,
23.11111111111111,208,0,9,35.577658888888884,595,0.6048000000000002,7,0.0001,2.3644750118255615
22.9,229,0,10,31.752566199999997,659,0.5649000000000005,28,0.0001,1.913203477859497
22.363636363636363,246,0,11,30.623714181818176,716,0.5325999999999999,45,0.0001,1.3353822231292725
21.833333333333332,262,0,12,29.340358916666663,766,0.5022,61,0.0001,1.9600586891174316
21.615384615384617,281,0,13,28.121879076923072,815,0.46609999999999985,80,0.0001,2.2094359397888184
21.357142857142858,299,0,14,26.590064428571424,864,0.4319000000000004,98,0.0001,1.9442062377929688
21.066666666666666,316,0,15,28.02206066666666,910,0.39959999999999973,115,0.0001,2.3645670413970947
20.8125,333,0,16,26.7842258125,956,0.36730000000000007,132,0.0001,2.383143424987793
20.764705882352942,353,0,17,30.48663052941177,1008,0.32930000000000015,152,0.0001,1.7580933570861816
20.555555555555557,370,0,18,31.217149055555563,1054,0.2970000000000005,169,0.0001,3.811406135559082
20.42105263157895,388,0,19,30.259088684210532,1100,0.26280000000000014,187,0.0001,1.0469404458999634
20.85,417,0,20,31.272628750000006,1176,0.20769999999999977,216,0.0001,3.45833158493042
21.047619047619047,442,0,21,30.6632080952381,1240,0.1601999999999998,241,0.0001,3.1063082218170166
21.363636363636363,470,0,22,30.79929472727273,1312,0.10700000000000043,269,0.0001,1.5150580406188965
21.130434782608695,486,0,23,31.489836478260873,1354,0.07660000000000056,285,0.0001,3.155151128768921
20.958333333333332,503,0,24,32.27358670833333,1402,0.05,302,0.0001,1.4830154180526733
20.88,522,0,25,31.09739416,1462,0.05,321,0.0001,1.1201201677322388
20.73076923076923,539,0,26,30.15071626923077,1518,0.05,338,0.0001,2.831744432449341
21.0,567,0,27,31.059040370370372,1603,0.05,366,0.0001,2.585676908493042
20.821428571428573,583,0,28,33.40161903571429,1657,0.05,382,0.0001,1.1971919536590576
20.655172413793103,599,0,29,32.351241724137935,1708,0.05,398,0.0001,3.9409143924713135
20.5,615,0,30,32.80367086666667,1762,0.05,414,0.0001,2.365171432495117
20.322580645161292,630,0,31,34.50742361290323,1810,0.05,429,0.0001,0.8133453726768494
20.5,656,0,32,34.92605765625,1893,0.05,455,0.0001,1.7307562828063965
20.545454545454547,678,0,33,35.545292515151516,1962,0.05,477,0.0001,1.9892187118530273
20.441176470588236,695,0,34,34.344537764705876,2017,0.05,494,0.0001,2.854414224624634
20.314285714285713,711,0,35,33.42899754285714,2065,0.05,510,0.0001,1.7424603700637817
20.11111111111111,724,0,36,32.32518244444444,2105,0.05,523,0.0001,1.3064684867858887
20.08108108108108,743,0,37,32.60890513513513,2155,0.05,542,0.0001,2.128066062927246
20.236842105263158,769,0,38,32.73212444736841,2223,0.05,568,0.0001,3.5279858112335205
20.41025641025641,796,0,39,31.943709512820508,2301,0.05,595,0.0001,1.2236328125
20.3,812,0,40,32.431944675,2348,0.05,611,0.0001,2.3505280017852783
20.21951219512195,829,0,41,31.69366882926829,2392,0.05,628,0.0001,3.195958137512207
20.333333333333332,854,0,42,31.00736011904762,2457,0.05,653,0.0001,3.4349799156188965
20.232558139534884,870,0,43,30.33885218604651,2498,0.05,669,0.0001,3.0842926502227783
20.34090909090909,895,0,44,29.84037136363636,2564,0.05,694,0.0001,1.8290475606918335
