time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss
0,24,-7.02405,1,49,24.0,0.9543999999999998,,,
0,44,-24.758145000000003,2,87,22.0,0.9163999999999997,,,
0,64,-10.222514000000002,3,137,21.333333333333332,0.8783999999999996,,,
0,81,-14.493171250000001,4,171,20.25,0.8461000000000001,,,
0,104,-3.4812784000000008,5,215,20.8,0.8023999999999997,,,
0,124,0.35635649999999924,6,251,20.666666666666668,0.7643999999999996,,,
0,152,1.2926767142857136,7,298,21.714285714285715,0.7112000000000003,,,
0,172,-8.990979375000002,8,335,21.5,0.6732000000000001,,,
0,196,0.5473454444444426,9,390,21.77777777777778,0.6275999999999999,,,
0,212,14.0853792,10,419,21.2,0.5972000000000002,,,
0,228,14.671769363636365,11,447,20.727272727272727,0.5668000000000002,,,
0,257,24.356074833333334,12,503,21.416666666666668,0.5117,,,
0,288,25.84085523076923,13,570,22.153846153846153,0.4528000000000002,,,
0,316,30.136128214285712,14,622,22.571428571428573,0.39959999999999973,0.0001,15,14.868537902832031
0,337,27.201346399999995,15,659,22.466666666666665,0.3596999999999999,0.0001,36,14.461267471313477
0,353,31.731426937499997,16,684,22.0625,0.32930000000000015,0.0001,52,17.588563919067383
0,385,36.882938411764705,17,752,22.647058823529413,0.2685000000000005,0.0001,84,17.457035064697266
0,402,35.69753566666667,18,781,22.333333333333332,0.23619999999999985,0.0001,101,15.835752487182617
0,418,35.40770821052632,19,813,22.0,0.20579999999999998,0.0001,117,12.560129165649414
0,439,36.434719300000005,20,1048,21.95,0.16590000000000016,0.0001,138,10.897174835205078
0,466,39.31497957142857,21,1124,22.19047619047619,0.11460000000000048,0.0001,165,14.552311897277832
0,482,38.984536363636366,22,1165,21.90909090909091,0.08419999999999972,0.0001,181,11.171554565429688
0,502,41.39018869565217,23,1217,21.82608695652174,0.05,0.0001,201,16.08917999267578
0,521,50.05727295833333,24,1262,21.708333333333332,0.05,0.0001,220,11.31640625
0,545,54.366481799999995,25,1335,21.8,0.05,0.0001,244,13.912163734436035
0,563,59.026939769230765,26,1376,21.653846153846153,0.05,0.0001,262,17.928089141845703
0,582,57.57088533333332,27,1417,21.555555555555557,0.05,0.0001,281,16.5848445892334
0,601,56.368262714285706,28,1471,21.464285714285715,0.05,0.0001,300,17.05238914489746
